caldt,vwretd,vwretx,l.t30_yield,l.cpi,l.y10minFF,l.dp_adj,ExcessRet,,PriceIndex,Dt,DtA,Pt/DtA,pd,Adjusted pd,,
19640731,0.020118,0.019127,0.002808,0.003236,0.0065,,0.017114242,,1.271429647,0.00124331,0.036306492,35.01934681,3.555900675,,,
19640831,-0.011266,-0.015575,0.002772,0.003226,0.0069,,-0.014098107,,1.295748282,0.00547859,0.036681012,35.32476877,3.564584383,,,
19640930,0.03048,0.028792,0.002686,-0.003215,0.0071,,0.027342314,,1.275567003,0.002187223,0.037316096,34.18275565,3.531721296,,,
19641030,0.008869,0.00773,0.002997,0.003226,0.0143,,0.005837383,,1.312293128,0.001452871,0.03712621,35.34681054,3.565208163,,,
19641130,0.00309,-0.002673,0.002915,0,0.0066,,0.000174476,,1.322437154,0.007562745,0.03773569,35.04473219,3.556625308,,,
19641231,0.00369,0.001939,0.00304,0.003215,0.002,,0.00064782,,1.318902279,0.002315587,0.038007948,34.70069637,3.546759755,,,
19650129,0.038646,0.037663,0.002915,0,0.0021,,0.035007182,,1.321459631,0.001296481,0.038088633,34.69433048,3.546576287,,,
19650226,0.006946,0.002634,0.003198,0,0.0019,,0.00372909,,1.371229765,0.005698134,0.038454049,35.65891745,3.573999254,,,
19650331,-0.009715,-0.011428,0.003486,0,0.0022,,-0.013242436,,1.374841584,0.002348917,0.038800239,35.43384363,3.567667398,,,
19650430,0.033652,0.032737,0.003118,0.003205,0.002,,0.029985013,,1.359129894,0.00125798,0.038922063,34.91926646,3.553038724,,,
19650528,-0.004351,-0.009102,0.003283,0.003195,0.0008,,-0.007638116,,1.40362373,0.006457226,0.039364603,35.65700236,3.573945547,,,
19650630,-0.051868,-0.053592,0.00338,0,0.001,,-0.056635847,,1.390847947,0.002419847,0.039718912,35.01727184,3.555841421,,,
19650730,0.01676,0.015871,0.003218,0.006369,0.0007,,0.013408268,,1.316309623,0.001236464,0.039712066,33.14633972,3.500932295,,,
19650831,0.030883,0.026133,0.003309,0,0.0009,,0.027112179,,1.337200773,0.006252471,0.040485946,33.02876432,3.497378828,,,
19650930,0.031952,0.030357,0.003114,0,0.0027,,0.028342993,,1.372145841,0.002132835,0.040431558,33.93749585,3.524520475,,,
19651029,0.029271,0.028212,0.003391,0,0.0022,,0.025465521,,1.413800073,0.001453102,0.04043179,34.96753608,3.554420091,,,
19651130,0.003065,-0.002961,0.00338,0.003165,0.0028,,-0.000313988,,1.4536862,0.008519559,0.041388604,35.12286149,3.558852243,,,
19651231,0.013545,0.011976,0.003126,0,0.0035,,0.010332962,,1.449381835,0.002280834,0.04135385,35.04829257,3.556726898,,,
19660131,0.012122,0.011231,0.00363,0.003155,0.0002,,0.00842569,,1.466739632,0.001291399,0.041348768,35.47238991,3.568754645,,,
19660228,-0.008621,-0.013014,0.003481,0,0.0019,,-0.012133331,,1.483212585,0.006443387,0.042094022,35.23570637,3.562059954,,,
19660331,-0.020923,-0.022747,0.003795,0.006289,0.0039,,-0.024932805,,1.463910057,0.00270538,0.042450485,34.48511989,3.540527923,,,
19660429,0.024837,0.023853,0.003638,0.003125,-0.0004,,0.020902177,,1.430610494,0.001440487,0.042632992,33.5564177,3.513228133,,,
19660531,-0.052538,-0.057483,0.004043,0.006231,0.0016,,-0.058003297,,1.464734847,0.007074369,0.043250135,33.86659596,3.522429159,,,
19660630,-0.010317,-0.012063,0.003672,0,0.0005,,-0.014035864,,1.380537493,0.002557427,0.043387715,31.8186266,3.46005186,,,
19660729,-0.01287,-0.013831,0.003847,0.003096,-0.0053,,-0.016793155,,1.36388407,0.001326697,0.043477947,31.36955976,3.445837988,,,
19660831,-0.075388,-0.080712,0.004119,0.003086,-0.007,,-0.082491629,,1.345020189,0.007261319,0.044486795,30.23414418,3.408971888,,,
19660930,-0.006958,-0.008696,0.00389,0.006154,0.0086,,-0.010864773,,1.23646092,0.002337645,0.044691605,27.66651388,3.320222797,,,
19661031,0.042294,0.041171,0.004389,0,-0.0073,,0.037044657,,1.225708655,0.001388546,0.044627049,27.46559982,3.312934306,,,
19661130,0.017516,0.010606,0.003932,0.006116,-0.0078,,0.013440073,,1.276172306,0.008469647,0.044577136,28.62840502,3.354399407,,,
19661230,0.00621,0.00441,0.00363,0,-0.0063,,0.00256737,,1.28970739,0.00229711,0.044593413,28.92147775,3.364584494,-0.148262731,,
19670131,0.08553,0.084077,0.003927,0,-0.0036,0.148262731,0.078149038,,1.295395,0.001873945,0.045175958,28.67443328,3.356005899,-0.152242523,,
19670228,0.010945,0.006257,0.003743,0,0.0052,0.152242523,0.007149525,,1.404307925,0.006072812,0.044805383,31.34239322,3.444971597,-0.060992077,,
19670331,0.043384,0.041582,0.003693,0,-0.0003,0.060992077,0.038783079,,1.41309468,0.002530563,0.044630566,31.66203814,3.455118428,-0.048676598,,
19670428,0.041609,0.040696,0.003344,0.00304,0,0.048676598,0.037428212,,1.471853983,0.001290155,0.044480234,33.09006846,3.499233191,-0.003264163,,
19670531,-0.039293,-0.044217,0.003126,0.00303,0.0078,0.003264163,-0.043206931,,1.531752552,0.007247409,0.044653274,34.30325297,3.535240188,0.032832049,,
19670630,0.026902,0.025341,0.002674,0.003021,0.0068,-0.032832049,0.023876072,,1.46402305,0.002391066,0.044486913,32.90907286,3.493748391,-0.00744659,,
19670731,0.04919,0.048278,0.003153,0.003012,0.0172,0.00744659,0.044870398,,1.501122858,0.001335189,0.044495405,33.73658141,3.51858275,0.018424379,,
19670831,-0.006282,-0.011073,0.00324,0.003003,0.0141,-0.018424379,-0.009536577,,1.573594067,0.00719188,0.044425966,35.42059319,3.567293379,0.067059758,,
19670929,0.034286,0.032875,0.003177,0.002994,0.0127,-0.067059758,0.03053937,,1.55616966,0.002220341,0.044308662,35.12111597,3.558802544,0.057816666,,
19671031,-0.027433,-0.028649,0.003649,0.002985,0.0156,-0.057816666,-0.03145867,,1.607328738,0.001892302,0.044812419,35.86793083,3.579843605,0.078451187,,
19671130,0.007902,0.002565,0.003416,0.002976,0.0151,-0.078451187,0.004460764,,1.561280376,0.008578313,0.044921085,34.75606969,3.548354224,0.047191558,,
19671229,0.033699,0.032203,0.003565,0.002967,0.0124,-0.047191558,0.029584971,,1.565285061,0.002335675,0.044959651,34.81532963,3.550057796,0.048803518,,
19680131,-0.036331,-0.037831,0.003934,0.002959,0.012,-0.048803518,-0.040933686,,1.615691935,0.002347928,0.045433633,35.56158315,3.57126593,0.069325829,,
19680229,-0.033624,-0.038107,0.003849,0.0059,0.0079,-0.069325829,-0.038043898,,1.554568694,0.007243147,0.046603969,33.35700237,3.507267716,0.007181269,,
19680329,0.005117,0.00374,0.003977,0.002933,0.0081,-0.007181269,0.00113484,,1.495328745,0.002140641,0.046214047,32.35658517,3.47681756,-0.020745281,,
19680430,0.094148,0.09273,0.004263,0.002924,0.0051,0.020745281,0.085722039,,1.500921274,0.002120376,0.047044268,31.90444554,3.462745359,-0.032309333,,
19680531,0.02704,0.022493,0.004672,0.002915,-0.0051,0.032309333,0.022019758,,1.640101704,0.006824689,0.046621548,35.17904889,3.560450704,0.065770868,,
19680628,0.011527,0.010038,0.004436,0.002907,-0.0027,-0.065770868,0.00703488,,1.676992512,0.002442111,0.046672593,35.93099058,3.58160017,0.086204814,,
19680730,-0.022024,-0.023161,0.00479,0.005797,0.0014,-0.086204814,-0.027048714,,1.693826162,0.00190674,0.047244145,35.85261558,3.579416523,0.08184105,,
19680830,0.018037,0.013494,0.004476,0.005764,-0.0061,-0.08184105,0.013410251,,1.654595455,0.007695052,0.047747317,34.65316049,3.545388933,0.046479846,,
19680930,0.044454,0.043207,0.004203,0.002865,-0.0033,-0.046479846,0.039300069,,1.676922566,0.002063281,0.047590257,35.23667826,3.562087536,0.062134919,,
19681031,0.009041,0.007468,0.004394,0.002857,-0.0001,-0.062134919,0.004616,,1.749377359,0.002637799,0.048335754,36.19220198,3.588843681,0.087934853,,
19681129,0.058501,0.054124,0.004457,0.005698,-0.0039,-0.087934853,0.052406659,,1.762441709,0.007657025,0.047414465,37.17097122,3.615528113,0.113044955,,
19681231,-0.033873,-0.035362,0.004249,0.002833,-0.0022,-0.113044955,-0.038699982,,1.857832104,0.002624276,0.047703065,38.94575954,3.662169897,0.156757767,,
19690131,-0.006711,-0.007725,0.005025,0.002825,0.0216,-0.156757767,-0.011746037,,1.792135445,0.001883842,0.047238979,37.93764116,3.63594379,0.128665295,,
19690228,-0.053641,-0.057883,0.004619,0.002817,-0.0019,-0.128665295,-0.059741654,,1.778291199,0.007602239,0.047598071,37.36057292,3.620615948,0.111710898,,
19690328,0.030505,0.029062,0.004802,0.005618,-0.0074,-0.111710898,0.025258466,,1.67535837,0.002566074,0.048023504,34.88621673,3.552091815,0.042865546,,
19690430,0.020527,0.019346,0.004859,0.00838,-0.0058,-0.042865546,0.015471927,,1.724047634,0.001978598,0.047881726,36.0063802,3.583696151,0.072512436,,
19690529,0.00504,0.000241,0.005215,0.00554,-0.018,-0.072512436,-0.000174107,,1.75740106,0.008273705,0.049330742,35.62486598,3.573043876,0.060454198,,
19690630,-0.067388,-0.068958,0.005137,0.002755,-0.0282,-0.060454198,-0.074889878,,1.757824594,0.00275912,0.04964775,35.40592671,3.566879227,0.051322122,,
19690731,-0.065171,-0.066371,0.00552,0.005495,-0.0077,-0.051322122,-0.072896475,,1.636608525,0.00210939,0.049850399,32.83039978,3.491354909,-0.025466556,,
19690829,0.051491,0.046518,0.00589,0.005464,-0.0209,0.025466556,0.044336435,,1.527985181,0.008138854,0.050294201,30.38094164,3.413815492,-0.103140517,,
19690930,-0.02259,-0.024167,0.005856,0.005435,-0.0292,0.103140517,-0.028687983,,1.599063996,0.002409633,0.050640553,31.57674833,3.452421037,-0.068207145,,
19691031,0.055637,0.05377,0.005724,0.002703,-0.0099,0.068207145,0.048436696,,1.560419416,0.002985452,0.050988206,30.60353621,3.421115565,-0.102517653,,
19691128,-0.032164,-0.036677,0.005509,0.005391,-0.0206,0.102517653,-0.038186509,,1.644323168,0.007042173,0.050373354,32.64271734,3.485621779,-0.041656505,,
19691231,-0.01968,-0.021471,0.005846,0.005362,-0.0196,0.041656505,-0.025705208,,1.584014327,0.002944983,0.050694061,31.24654608,3.441908845,-0.087517337,,
19700130,-0.073254,-0.074519,0.005781,0.005333,0.0288,0.087517337,-0.081840107,,1.550003955,0.002003778,0.050813998,30.50348373,3.417840898,-0.113302923,,
19700227,0.056706,0.051651,0.006167,0.002653,-0.0163,0.113302923,0.049008461,,1.434499211,0.00783527,0.051047029,28.10152191,3.335823735,-0.192288201,,
19700331,-0.004729,-0.006569,0.005542,0.005291,-0.016,0.192288201,-0.010266917,,1.508592529,0.002639479,0.051120434,29.51055817,3.384748103,-0.141409101,,
19700430,-0.105318,-0.106393,0.005286,0.005263,-0.0042,0.141409101,-0.116559009,,1.498682585,0.001621737,0.050763572,29.5227959,3.385162707,-0.137825873,,
19700529,-0.064346,-0.069931,0.005546,0.007853,-0.0068,0.137825873,-0.072040207,,1.339233249,0.008370142,0.05086001,26.33175356,3.270775571,-0.24486677,,
19700630,-0.051067,-0.053372,0.005546,0.002597,0.0007,0.24486677,-0.057947761,,1.245579329,0.003086933,0.051187823,24.33350857,3.191854354,-0.315402041,,
19700731,0.07417,0.072132,0.004886,0.005181,0.0193,0.315402041,0.066674168,,1.179100269,0.002538491,0.051616924,22.84328811,3.128657337,-0.367767797,,
19700831,0.050036,0.044584,0.00502,0.005155,0.0063,0.367767797,0.043817007,,1.264151129,0.006428455,0.049906525,25.33037794,3.232004385,-0.255107166,,
19700930,0.047535,0.0456,0.005034,0,0.0099,0.255107166,0.041418413,,1.320512043,0.002446132,0.049943024,26.44036999,3.274892009,-0.204333138,,
19701030,-0.018208,-0.02045,0.004954,0.005128,0.0229,0.204333138,-0.023317575,,1.380727392,0.002960588,0.04991816,27.6598215,3.319980873,-0.152025865,,
19701130,0.050448,0.045355,0.004489,0.005102,0.012,0.152025865,0.044737785,,1.352491517,0.007032045,0.049908032,27.09967657,3.299521793,-0.165572932,,
19701231,0.060723,0.058969,0.003786,0.005076,0.0099,0.165572932,0.0551719,,1.41383377,0.00237227,0.049335319,28.65763915,3.355420045,-0.104268077,,
19710129,0.05203,0.050772,0.003777,0.005051,0.035,0.104268077,0.046951746,,1.497206133,0.001778603,0.049110144,30.48669823,3.417290465,-0.03812056,,
19710226,0.016913,0.012412,0.003344,0,0.0209,0.03812056,0.013433146,,1.573222283,0.006738925,0.048013799,32.76604496,3.489392765,0.034478266,,
19710331,0.044778,0.042972,0.002924,0.002513,0.0276,-0.034478266,0.040884689,,1.592749118,0.002841239,0.048215559,33.03392381,3.497535028,0.042045044,,
19710430,0.033332,0.0323,0.002804,0.002506,0.0103,-0.042045044,0.029988456,,1.661192733,0.001643717,0.04823754,34.43775837,3.53915359,0.081541155,,
19710528,-0.036409,-0.040737,0.003127,0.0025,0.0183,-0.081541155,-0.040210469,,1.714849259,0.007189642,0.04705704,36.44192827,3.595719987,0.13712785,,
19710630,0.003119,0.001385,0.003505,0.004988,0.015,-0.13712785,-0.000384726,,1.644991444,0.002973549,0.046943655,35.04182679,3.556542399,0.098646311,,
19710730,-0.040283,-0.041317,0.004272,0.007444,0.0195,-0.098646311,-0.045379731,,1.647269758,0.001700921,0.046106086,35.72781603,3.575929546,0.118130319,,
19710831,0.042511,0.037666,0.004446,0.002463,0.0135,-0.118130319,0.03719608,,1.579209513,0.007981022,0.047658653,33.13584007,3.500615478,0.044059958,,
19710930,-0.005016,-0.006491,0.00363,0.002457,0.0053,-0.044059958,-0.00865205,,1.638692018,0.002329334,0.047541855,34.46840732,3.540043175,0.084099998,,
19711029,-0.040683,-0.042346,0.003855,0,0.0062,-0.084099998,-0.045381295,,1.628055269,0.002725145,0.047306412,34.41510801,3.538495654,0.083951034,,
19711130,-0.001262,-0.005696,0.003506,0.002451,0.0074,-0.083951034,-0.004762665,,1.55911364,0.007218797,0.047493164,32.82816944,3.491286971,0.040193494,,
19711231,0.091257,0.089557,0.003152,0,0.0168,-0.040193494,0.0841832,,1.550232929,0.002650493,0.047771387,32.45107624,3.479733609,0.033707806,,
19720131,0.028382,0.027169,0.00285,0.00489,0.0289,-0.033707806,0.025140747,,1.689067139,0.001880433,0.047873217,35.28208985,3.563375465,0.119365449,,
19720229,0.031349,0.027272,0.002659,0,0.0296,-0.119365449,0.028212183,,1.734957404,0.006886327,0.048020619,36.12942623,3.587107664,0.144028434,,
19720330,0.008723,0.007248,0.00259,0.004866,0.0279,-0.144028434,0.006098523,,1.782273163,0.002559062,0.047738442,37.33412959,3.619907911,0.1749449,,
19720428,0.005505,0.004723,0.002962,0.002421,0.0187,-0.1749449,0.002532281,,1.795191079,0.001393738,0.047488462,37.80267882,3.632379968,0.186064629,,
19720531,0.016375,0.01196,0.002942,0.002415,0.0183,-0.186064629,0.013304695,,1.803669766,0.007925769,0.048224589,37.40145477,3.621709601,0.174042436,,
19720630,-0.020897,-0.022412,0.0028,0.00241,0.013,-0.174042436,-0.02391452,,1.825241656,0.00273256,0.0479836,38.03886477,3.638608394,0.188948752,,
19720731,-0.004254,-0.00531,0.003084,0.002404,0.0165,-0.188948752,-0.007342328,,1.78433434,0.001927455,0.048210134,37.01160329,3.611231466,0.15824192,,
19720831,0.035966,0.031857,0.002988,0.004796,0.0162,-0.15824192,0.03235078,,1.774859525,0.00733183,0.047560941,37.31758604,3.619464691,0.160762667,,
19720929,-0.00767,-0.009085,0.003546,0.002387,0.0129,-0.160762667,-0.011239293,,1.831401225,0.002511426,0.047743034,38.35954871,3.647003485,0.182896393,,
19721031,0.008676,0.007358,0.003891,0.002381,0.0166,-0.182896393,0.00475513,,1.814762945,0.002413787,0.047431676,38.26056997,3.644419861,0.174109872,,
19721130,0.049764,0.045305,0.003739,0.004751,0.0153,-0.174109872,0.04483335,,1.828115971,0.008092028,0.048304907,37.84534742,3.633508051,0.15909011,,
19721229,0.011243,0.009903,0.004185,0.002364,0.0109,-0.15909011,0.007004,,1.910938765,0.002449675,0.048104089,39.72507979,3.681982721,0.200896061,,
19730131,-0.027454,-0.028654,0.00441,0.002358,0.0091,-0.200896061,-0.032238208,,1.929862791,0.002293127,0.048516783,39.77722104,3.683294413,0.194834044,,
19730228,-0.04437,-0.047916,0.004277,0.002353,0.0004,-0.194834044,-0.04965235,,1.874564503,0.006843293,0.048473749,38.67174549,3.655109243,0.157779832,,
19730330,-0.007857,-0.00933,0.00475,0.007042,-0.0086,-0.157779832,-0.012626783,,1.78474287,0.002761234,0.048675921,36.66582656,3.601845165,0.09848528,,
19730430,-0.051769,-0.052965,0.005002,0.009324,-0.0065,-0.09848528,-0.058146667,,1.768091219,0.002134552,0.049416736,35.77919899,3.577366691,0.068667807,,
19730531,-0.024508,-0.028777,0.005098,0.006928,-0.0093,-0.068667807,-0.029898369,,1.674444268,0.007547981,0.049038948,34.14519111,3.530621759,0.014704926,,
19730629,-0.008648,-0.010424,0.005379,0.006881,-0.012,-0.014704926,-0.014050196,,1.626258785,0.002973813,0.049280202,33.00024605,3.496515018,-0.027864612,,
19730731,0.056961,0.055514,0.00654,0.006834,-0.0194,0.027864612,0.048879102,,1.609306663,0.002353196,0.049705943,32.37654421,3.477434216,-0.05663366,,
19730831,-0.029657,-0.034039,0.006855,0.002262,-0.0379,0.05663366,-0.036937273,,1.698645714,0.007051982,0.049426095,34.36738652,3.537108048,-0.00543493,,
19730928,0.053931,0.05253,0.006749,0.018059,-0.0397,0.00543493,0.045800656,,1.640825512,0.002379803,0.049294471,33.28619747,3.505142821,-0.043796013,,
19731031,-0.000415,-0.002142,0.006856,0.002217,-0.0392,0.043796013,-0.007247691,,1.727018076,0.002833706,0.04971439,34.73879625,3.54785711,-0.00741162,,
19731130,-0.120713,-0.125557,0.005529,0.00885,-0.039,0.00741162,-0.134157698,,1.723318804,0.008365676,0.049988038,34.47462383,3.540223512,-0.021731376,,
19731231,0.011437,0.009421,0.006961,0.006579,-0.0365,0.021731376,0.004435208,,1.506944065,0.003474211,0.051012573,29.54064006,3.385766945,-0.177030913,,
19740131,0.004413,0.002808,0.006274,0.006536,-0.0293,0.177030913,-0.001851109,,1.521140985,0.002418645,0.051138092,29.74575169,3.392686321,-0.169428088,,
19740228,0.002345,-0.002452,0.005819,0.008658,-0.0231,0.169428088,-0.00345988,,1.525412348,0.007296913,0.051591712,29.567004,3.38665901,-0.172601684,,
19740329,-0.023364,-0.025299,0.005677,0.012876,-0.0186,0.172601684,-0.029302212,,1.521672037,0.002951673,0.051782151,29.38603367,3.380519516,-0.175490747,,
19740430,-0.045961,-0.047694,0.007949,0.012712,-0.0254,0.175490747,-0.054968301,,1.483175257,0.002637058,0.052284656,28.36731387,3.345237562,-0.205386145,,
19740531,-0.041981,-0.047321,0.007235,0.004184,-0.0334,0.205386145,-0.050096621,,1.412436696,0.007920156,0.052656831,26.82342774,3.289275675,-0.25283569,,
19740628,-0.022942,-0.025407,0.006892,0.0125,-0.0412,0.25283569,-0.030077622,,1.345598779,0.003481656,0.053164674,25.31001645,3.231200224,-0.301873858,,
19740731,-0.070874,-0.072695,0.006756,0.00823,-0.0567,0.301873858,-0.0802442,,1.311411151,0.002450335,0.053261813,24.62197724,3.203639428,-0.319093262,,
19740830,-0.087757,-0.094578,0.00594,0.008163,-0.0417,0.319093262,-0.097771305,,1.216078117,0.008945135,0.055154967,22.04838817,3.0932395,-0.418177191,,
19740930,-0.109718,-0.112274,0.007997,0.012146,-0.0349,0.418177191,-0.124182206,,1.101063881,0.003108296,0.05588346,19.70285814,2.980763708,-0.515117442,,
19741031,0.165584,0.162459,0.005254,0.012,-0.0317,0.515117442,0.147982003,,0.977443035,0.003440825,0.056490579,17.30276191,2.850866137,-0.625914193,,
19741129,-0.041046,-0.048241,0.005139,0.009881,-0.0187,0.625914193,-0.047038012,,1.136237453,0.007032703,0.055157606,20.5998327,3.025282954,-0.43855282,,
19741231,-0.027005,-0.030302,0.007009,0.007828,-0.0183,0.43855282,-0.034360887,,1.081424222,0.003746175,0.05542957,19.50987931,2.970920969,-0.478781121,,
19750131,0.1416,0.139591,0.005387,0.007767,0.0353,0.478781121,0.127058245,,1.048654905,0.002172581,0.055183506,19.00304964,2.944599474,-0.487914394,,
19750228,0.058412,0.051629,0.004326,0.003854,0.0077,0.487914394,0.052453002,,1.195037692,0.007113026,0.054999619,21.72810856,3.078606747,-0.339782095,,
19750331,0.03019,0.027442,0.004014,0.007678,0.0139,0.339782095,0.025737286,,1.256736293,0.003283964,0.05533191,22.71268605,3.122923625,-0.281660098,,
19750430,0.046497,0.044433,0.004489,0.00381,0.0262,0.281660098,0.040969442,,1.29122365,0.002593904,0.055288756,23.35418175,3.150776058,-0.240429779,,
19750530,0.05514,0.049542,0.004869,0.003795,0.0128,0.240429779,0.048816275,,1.348596591,0.00722827,0.05459687,24.70098733,3.206843216,-0.172838555,,
19750630,0.051473,0.048958,0.004133,0.005671,0.0281,0.172838555,0.046067556,,1.415408763,0.00339172,0.054506934,25.96749924,3.256845727,-0.112231525,,
19750731,-0.060385,-0.062318,0.004811,0.007519,0.0199,0.112231525,-0.067084526,,1.484704345,0.002735985,0.054792584,27.09681215,3.299416088,-0.060999625,,
19750829,-0.023558,-0.02896,0.004815,0.011194,0.0197,0.060999625,-0.028643371,,1.39218054,0.008020373,0.053867821,25.84438193,3.252093244,-0.098117707,,
19750930,-0.03801,-0.040486,0.005575,0.001845,0.0209,0.098117707,-0.044310741,,1.351862991,0.003447039,0.054206564,24.93910115,3.216436899,-0.121813869,,
19751031,0.055857,0.053272,0.005185,0.005525,0.0226,0.121813869,0.049181155,,1.297131466,0.003494566,0.054260306,23.90571621,3.174117602,-0.151069214,,
19751128,0.031222,0.025801,0.004127,0.005495,0.0226,0.151069214,0.026625999,,1.366232254,0.00703175,0.054259353,25.17966375,3.226036675,-0.087831493,,
19751231,-0.010998,-0.013677,0.004983,0.007286,0.0285,0.087831493,-0.016029551,,1.401482412,0.003660136,0.054173314,25.87034668,3.253097397,-0.048857289,,
19760130,0.126012,0.124372,0.004402,0.003617,0.0239,0.048857289,0.114289847,,1.382314337,0.002298431,0.054299164,25.45737797,3.237005602,-0.052552173,,
19760227,0.00731,0.002081,0.003452,0.001802,0.0296,0.052552173,0.003837356,,1.554235536,0.007228122,0.054414259,28.56301926,3.352112848,0.07097164,,
19760331,0.02674,0.024295,0.004344,0.003597,0.0288,-0.07097164,0.022054142,,1.5574699,0.003800106,0.054930402,28.35351381,3.344750967,0.070751264,,
19760430,-0.010402,-0.011668,0.00444,0.001792,0.0259,-0.070751264,-0.014886651,,1.595308631,0.001971757,0.054308255,29.37506716,3.380146259,0.111624902,,
19760528,-0.009326,-0.015305,0.004124,0.003578,0.0257,-0.111624902,-0.013485279,,1.57669457,0.00953835,0.056618335,27.84777348,3.326753016,0.06389468,,
19760630,0.044521,0.042168,0.004446,0.00713,0.0229,-0.06389468,0.039122261,,1.55256326,0.003709962,0.056936577,27.26829293,3.305724596,0.048165994,,
19760730,-0.006136,-0.007574,0.00439,0.00531,0.0215,-0.048165994,-0.010535295,,1.618031747,0.002232586,0.056433178,28.67163981,3.355908474,0.101725587,,
19760831,-0.001398,-0.007387,0.004745,0.005282,0.0254,-0.101725587,-0.006132756,,1.605776775,0.009690392,0.058103197,27.63663371,3.319142201,0.07101392,,
19760930,0.024513,0.022385,0.003924,0.005254,0.0235,-0.07101392,0.020301057,,1.593914902,0.003417093,0.058073251,27.44662772,3.312243309,0.069473348,,
19761029,-0.020372,-0.022249,0.004092,0.003484,0.0224,-0.069473348,-0.024666022,,1.629594687,0.002991778,0.057570463,28.30608942,3.343076955,0.105995332,,
19761130,0.005363,-0.001438,0.00444,0.005208,0.024,-0.105995332,0.000918498,,1.593337835,0.011082873,0.061621587,25.85681261,3.25257411,0.023482748,,
19761231,0.061591,0.0593,0.003579,0.001727,0.0232,-0.023482748,0.056196116,,1.591046615,0.003650337,0.061611788,25.82373708,3.251294111,0.025938105,,
19770131,-0.036326,-0.037995,0.003594,0.003448,0.0264,-0.025938105,-0.040589773,,1.685395679,0.002655457,0.061968814,27.19748175,3.303124386,0.080256212,,
19770228,-0.015744,-0.02177,0.003499,0.005155,0.0275,-0.080256212,-0.019362146,,1.62135907,0.010156194,0.064896886,24.9836188,3.218220362,3.10393E-05,,
19770331,-0.009249,-0.011797,0.003769,0.010256,0.0272,-3.10393E-05,-0.013053953,,1.586062084,0.004131223,0.065228003,24.315662,3.191120669,-0.021807574,,
19770429,0.004962,0.003564,0.004114,0.006768,0.027,0.021807574,0.000844169,,1.567351309,0.002217315,0.065473561,23.93869034,3.175495993,-0.032717208,,
19770531,-0.010777,-0.018005,0.003855,0.008403,0.0233,0.032717208,-0.014683081,,1.572937349,0.011328815,0.067264026,23.38452568,3.152074508,-0.052327549,,
19770630,0.051369,0.048712,0.003716,0.005,0.0191,0.052327549,0.046384012,,1.544616612,0.004179295,0.067733358,22.80437066,3.126952213,-0.074554066,,
19770729,-0.012806,-0.014162,0.003873,0.006633,0.0156,0.074554066,-0.016754223,,1.619857977,0.0020945,0.067595273,23.96407195,3.176555707,-0.024198246,,
19770831,-0.013338,-0.020278,0.004993,0.004942,0.0156,0.024198246,-0.018408326,,1.596917548,0.011241814,0.069146695,23.09463311,3.139600257,-0.062441494,,
19770930,0.001572,-0.001008,0.00433,0.003279,0.0125,0.062441494,-0.002749887,,1.564535254,0.004120047,0.069849649,22.39861292,3.108999034,-0.09660481,,
